rooms,Elitka,area,heating,floor,price
1,1,48,1,12,39999
4,0,63,1,6,63000
1,0,32,1,6,38500
3,0,61,1,3,52000
3,0,68,1,7,68000
2,0,35,0,2,35000
2,1,80,1,2,59000
3,1,140,1,10,90000
2,0,47,0,1,22000
2,1,75,1,2,31000
2,1,68,1,1,44400
3,0,95,1,1,57000
3,1,99,1,3,62000
4,1,104,1,8,108000
1,0,10,1,8,7200
1,0,10,1,6,7300
1,0,33,0,2,7300
1,0,11,1,4,7700
1,0,18,1,1,9500
1,0,18,1,1,9500
1,0,35,0,2,9500
1,0,14,1,4,9500
1,0,35,0,2,10000
1,0,16,1,8,10000
1,0,16,1,8,10000
1,0,18,1,1,10000
1,0,19,1,1,11000
1,0,13,1,9,11000
1,0,14,1,5,11000
1,0,15,1,6,11000
1,0,14,1,8,11000
1,0,26,0,1,11500
2,0,18,1,7,11500
1,0,14,1,4,11500
1,0,18,1,4,11499
1,0,23,1,2,11500
1,0,17,1,8,11500
1,0,23,1,2,11500
1,0,23,1,2,11500
1,0,16,1,3,11700
1,0,18,1,5,12000
1,0,12,1,3,12000
1,0,32,0,2,12000
1,0,18,1,6,12200
1,0,18,1,3,12400
1,0,18,1,6,12500
1,0,15,1,7,12500
1,0,19,1,7,12500
1,0,18,1,7,12500
1,0,16,1,5,12700
1,0,22,1,2,12700
1,0,19,1,5,13000
1,0,13,1,6,13000
1,0,24,1,1,13000
1,0,19,1,6,13500
1,0,22,1,5,13500
1,0,31,0,1,13500
1,0,18,1,8,13500
1,0,18,1,3,13500
1,0,13,1,7,13500
1,0,35,0,2,14000
2,0,80,0,2,14000
1,0,18,1,4,14000
1,0,33,0,1,14000
1,0,12,1,3,14000
3,0,61,0,2,14000
1,0,18,1,7,14000
1,0,16,1,9,14000
1,0,18,1,3,14000
1,0,16,1,7,14700
1,0,17,1,3,14500
3,0,57,0,1,14500
1,0,24,1,7,14700
2,0,26,1,1,15000
1,0,12,1,4,15000
1,0,35,0,1,15000
2,0,60,0,1,15000
1,0,15,1,9,15000
1,0,23,1,3,15000
1,0,22,1,9,15000
1,0,24,1,4,16000
1,0,30,1,2,16000
1,0,25,1,5,15500
1,0,20,1,6,16000
1,0,51,0,1,16000
1,0,32,1,1,16000
1,0,33,1,2,16000
1,0,34,1,1,16000
1,0,24,1,4,16500
1,0,21,1,8,16500
1,0,22,1,5,16500
1,0,19,1,7,16500
1,0,31,1,2,16500
1,0,37,0,2,16500
1,0,21,1,5,17000
1,0,37,1,2,17000
2,0,43,0,2,17000
3,0,60,0,1,17000
1,0,36,1,1,17000
1,0,36,1,1,17000
1,0,24,1,7,17000
1,0,24,1,4,17000
2,0,22,1,3,17000
1,0,15,1,6,17000
3,0,58,0,2,17000
1,0,18,1,7,17000
1,0,18,1,3,17000
1,0,22,1,6,17000
1,0,25,1,7,17500
1,0,30,1,1,17500
1,0,31,1,1,17500
1,0,24,1,5,17700
1,0,29,1,5,18000
1,0,24,1,4,18000
1,0,30,1,2,18000
3,0,47,0,1,18000
1,0,NA,1,1,18000
2,0,32,1,2,18000
1,0,21,1,1,18000
1,0,21,1,4,18500
1,0,38,1,1,18500
1,1,37,1,1,18500
1,0,25,1,5,18500
1,0,37,1,2,18500
1,0,27,1,3,18500
1,1,46,0,2,19000
1,0,24,1,8,18500
1,0,26,1,5,18750
2,0,54,0,1,19000
1,0,24,1,9,19000
2,0,49,0,2,19000
2,0,49,0,1,19000
3,0,72,0,2,19000
1,0,26,1,6,19000
1,1,32,1,1,19000
1,0,24,1,5,19000
1,1,21,1,10,19092
1,0,38,1,1,19400
3,0,55,0,2,19500
1,0,27,1,6,19500
1,0,27,1,4,19500
3,0,27,1,8,19500
1,0,30,1,3,19500
1,0,32,1,9,19500
2,0,45,0,1,19500
1,0,26,1,4,19500
1,0,32,1,5,19500
2,0,38,1,1,20000
2,0,65,0,2,20000
1,0,28,1,8,20000
2,0,43,1,1,20000
1,0,27,1,8,20000
1,0,27,1,4,20000
1,0,27,1,5,20000
1,0,31,1,6,20000
1,0,32,1,9,20000
1,0,42,1,2,20000
1,0,32,1,5,20000
1,0,34,1,2,20000
2,0,42,1,1,20000
2,0,46,0,1,20000
1,0,31,1,8,20000
1,0,37,1,1,20000
1,0,37,1,1,20000
1,0,37,1,2,20000
1,0,43,1,2,20000
1,0,43,1,1,20000
1,0,38,1,1,20000
1,0,38,1,1,20100
1,0,25,1,5,20350
1,0,30,1,9,20500
1,0,31,1,3,20500
1,0,48,0,1,20500
