rooms,Elitka,area,heating,floor,price
4,1,99,1,6,62000
3,1,82,1,11,53500
4,1,92,1,9,64000
3,1,89,1,5,58000
3,1,85,1,7,52000
1,0,31,1,2,17000
1,1,32,1,1,19000
1,0,27,1,4,19500
1,0,32,1,4,21000
1,0,21,1,8,21200
1,0,21,1,9,21500
1,0,32,1,7,25000
1,0,35,1,9,25000
2,0,39,1,6,25000
2,0,56,1,2,27000
3,0,74,0,1,27000
1,1,45,1,8,28000
1,1,32,1,7,28000
1,1,39,1,6,28000
2,1,55,1,1,28000
1,1,33,1,8,28500
1,1,45,1,9,28500
1,1,48,1,1,28500
2,1,48,1,7,29500
1,1,30,1,6,29500
1,1,35,1,6,29500
2,0,49,1,9,30000
2,0,48,1,7,30000
2,0,45,1,3,30500
1,1,45,1,5,30500
3,0,50,1,5,42000
3,0,54,1,5,42000
1,1,44,1,4,42000
2,0,40,1,5,33000
3,0,56,1,1,33000
2,1,50,1,3,33000
1,1,42,1,4,33000
1,1,30,1,3,33000
1,1,39,1,6,33500
1,1,42,1,4,33500
1,1,38,1,7,33500
1,1,46,1,9,33500
1,1,44,1,4,33500
1,1,30,1,6,33500
2,1,42,1,5,33500
2,1,58,1,1,33500
1,1,35,1,8,33500
2,0,59,1,2,33500
1,1,36,1,5,33650
2,0,33,1,5,33700
2,1,36,1,6,34000
2,1,40,1,6,34000
3,1,62,1,1,34000
3,0,49,1,5,34000
2,0,43,1,5,35000
2,0,50,1,9,35000
3,0,58,1,7,35000
3,0,63,1,1,35000
1,0,30,1,4,35000
2,1,45,1,5,36000
2,1,38,1,6,36000
2,1,42,1,4,36000
2,1,48,1,9,36000
1,1,32,1,8,36500
2,1,44,1,7,36500
3,1,70,1,2,36500
2,0,38,1,9,36500
3,1,63,1,11,39000
2,1,37,1,6,39195
4,1,82,1,2,39400
2,1,46,1,4,39500
3,1,61,1,6,40500
3,1,55,1,3,40500
3,1,68,1,7,41000
2,1,43,1,9,41500
2,1,43,1,9,41500
3,1,58,1,10,41500
3,1,50,1,8,41500
4,0,76,1,1,41500
3,1,50,1,5,42000
3,1,54,1,5,42000
1,1,44,1,4,42000
1,0,28,1,9,21800
1,0,35,1,5,22000
1,0,28,1,9,21800
1,0,40,1,1,22000
2,0,50,1,2,23000
1,0,32,1,6,23000
1,0,30,1,5,23500
1,0,23,1,3,23500
2,0,45,1,2,23500
1,0,45,1,1,23500
3,0,64,0,2,24500
1,0,32,1,8,25000
1,0,28,1,6,25000
2,0,33,1,3,25000
3,0,49,1,1,25000
1,0,40,1,6,25200
1,0,42,1,7,25500
1,0,34,1,9,25500
1,0,53,1,1,26000
1,0,35,1,3,26000
1,0,34,1,8,26000
1,0,35,1,9,26000
2,0,43,1,4,26000
1,0,34,1,8,26000
4,1,96,1,3,63500
4,1,89,1,5,58000
4,1,85,1,4,54000
3,1,67,1,7,42000
3,1,63,1,7,42000
4,0,76,1,1,42000
2,1,44,1,4,42000
3,0,65,1,6,43000
3,1,68,1,9,42000
3,1,69,1,8,42000
4,0,50,1,9,42000
2,1,61,1,5,44000
3,1,65,1,3,42000
3,0,50,1,5,42000
3,0,60,1,7,42200
4,0,90,1,2,42200
